Région,Sous-Région,Appellation,Label,Cru,Type,Couleur,Age min,Age max,T°C min,T°max,Type de verre,Commentaires
Bourgogne,Côte de Beaune,Ladoix,AOC,Ladoix Premier Cru,sec,rouge,4,10,16,,,
Bourgogne,Côte de Beaune,Ladoix,AOC,Ladoix,sec,blanc,2,6,13,,,
Bourgogne,Côte de Beaune,Ladoix,AOC,Ladoix Premier Cru,sec,blanc,3,8,13,,,
Bourgogne,Côte de Beaune,Maranges,AOC,Maranges,sec,rouge,2,5,16,,,
Bourgogne,Côte de Beaune,Maranges,AOC,Maranges Premier Cru,sec,rouge,2,7,16,,,
Bourgogne,Côte de Beaune,Maranges,AOC,Maranges,sec,blanc,2,5,13,,,
Bourgogne,Côte de Beaune,Maranges,AOC,Maranges Premier Cru,sec,blanc,2,5,13,,,
Bourgogne,Côte de Beaune,Meursault,AOC,Meursault Premier Cru,sec,rouge,5,20,16,,,
Bourgogne,Côte de Beaune,Meursault,AOC,Meursault,sec,blanc,4,10,12,14,,
Bourgogne,Côte de Beaune,Meursault,AOC,Meursault Premier Cru,sec,blanc,5,15,12,14,,
Bourgogne,Côte de Beaune,Monthélie,AOC,Monthélie,sec,rouge,3,8,16,,,
Bourgogne,Côte de Beaune,Monthélie,AOC,Monthélie Premier Cru,sec,rouge,3,12,16,,,
Bourgogne,Côte de Beaune,Monthélie,AOC,Monthélie,sec,blanc,2,5,13,,,
Bourgogne,Côte de Beaune,Monthélie,AOC,Monthélie Premier Cru,sec,blanc,2,7,13,,,
Bourgogne,Côte de Beaune,Montrachet,AOC,Montrachet Grand Cru,sec,blanc,7,30,12,14,,
Bourgogne,Côte de Beaune,Musigny,AOC,Musigny Grand Cru,sec,rouge,7,35,15,16,,
Bourgogne,Côte de Beaune,Musigny,AOC,Musigny Grand Cru,sec,blanc,7,20,12,14,,
Bourgogne,Côte de Beaune,Pernand-Vergelesses,AOC,Pernand-Vergelesses,sec,rouge,2,7,16,,,
Bourgogne,Côte de Beaune,Pernand-Vergelesses,AOC,Pernand-Vergelesses Premier Cru,sec,rouge,3,12,16,,,
Bourgogne,Côte de Beaune,Pernand-Vergelesses,AOC,Pernand-Vergelesses,sec,blanc,1,4,13,,,
Bourgogne,Côte de Beaune,Pernand-Vergelesses,AOC,Pernand-Vergelesses Premier Cru,sec,blanc,2,10,13,,,
Bourgogne,Côte de Beaune,Pommard,AOC,Pommard,sec,rouge,5,15,16,,,
Bourgogne,Côte de Beaune,Pommard,AOC,Pommard Premier Cru,sec,rouge,6,20,16,,,
Bourgogne,Côte de Beaune,Puligny-Montrachet,AOC,Puligny-Montrachet,sec,rouge,5,10,16,,,
Bourgogne,Côte de Beaune,Puligny-Montrachet,AOC,Puligny-Montrachet Premier Cru,sec,rouge,5,15,16,,,
Bourgogne,Côte de Beaune,Puligny-Montrachet,AOC,Puligny-Montrachet,sec,blanc,3,10,13,,,
Bourgogne,Côte de Beaune,Puligny-Montrachet,AOC,Puligny-Montrachet Premier Cru,sec,blanc,3,15,13,,,
